villain,type,weapon,victim,time
DemonKiss,KO,UMP9,Hutton,22.81
McWaddle,KO,punch,ReapersTears,33.61
McWaddle,KILL,punch,ReapersTears,37.27
DemonKiss,KILL,UMP9,McWaddle,37.27
Silencey,KILL,M416,Nesquuuik,44.55
Silencey,KO,M416,Nesquuuik,51.69
ZenitH_80,KO,M16A4,R3hab_,51.69
ZenitH_80,EXECUTION,,R3hab_,62.48
ZenitH_80,KILL,M16A4,Silencey,62.48
ZenitH_80,KILL,M16A4,MrSvenne,66.08
Kaijin,KO,,Kaijin,73.41
Kaijin,KILL,M16A4,Kaijin,88.04
Kaijin,KILL,M16A4,I3rainiac,98.83
GOooLifE,KO,S1897,MrBritBong,109.59
GOooLifE,KILL,S1897,MrBritBong,109.59
Joewaoi,KO,S1897,TBagSKT,131.16
Raincoat,KO,Micro-UZI,JerricO,131.16
Joewaoi,KILL,S1897,TBagSKT,131.16
Raincoat,EXECUTION,,JerricO,131.16
Tzigtot,KO,Micro-UZI,Hutton,141.59
gherkinkhan,KO,R1895,reebo,141.59
Tzigtot,KILL,Micro-UZI,Hutton,141.59
Joewaoi,KILL,S1897,Rudjeri,185.52
Spar-tEnSfitor,KO,S1897,NlnianzkiDyheadshdt,189.23
Spar-tEnSfitor,KILL,S1897,NlnianzkiDyheadshdt,189.23
GiTGOOD,KO,M16A4,weSIXWest,189.23
Spar-tEnSfitor,KILL,S1897,HenD,189.23
Spar-tEnSfitor,KILL,S1897,232430,196.56
GiTGOOD,EXECUTION,,WestxlNest-,207.67
Tzigtot,KO,Micro-UZI,mugudk,222.72
mugudk,KILL,S1897,Ztrooone,222.72
Tzigtot,KILL,,mugudk,226.48
Iznougoud,KILL,,Tzigtot,241.47
Spar-tEnSfitor,KO,M16A4,escapia,349.20
Spar-tEnSfitor,KILL,M16A4,escapia,349.20
MrSvenne,KILL,P1911,BlucKBuRn,407.81
Gubbkuken,KILL,Micro-UZI,SwagPanda,425.94
man,KILL,SCAR-L,MrKRONIc,484.46
teddy187,EXECUTION,,GJEZ,495.56
I3rainiac,KILL,M16A4,Thanop,577.37
Spar-tEnSfitor,EXECUTION,,GOooLifE,581.01
Homyachoke,KO,,Blackzander,584.73
Homyachoke,KILL,M16A4,Blackzander,592.22
Kaustl,KO,SCAR-L,GOSSIpMaster,666.45
misbah,KILL,S12K,KingGeorg,673.89
Steven--Seagal,KILL,S12K,lluBaLsoK,673.89
Kaijin,EXECUTION,,GOSSIpMaster,714.29
-thoXiE,KILL,M416,Adolph88,714.29
jedlc,KILL,SCAR-L,Iznougoud,729.23
Psychthears,KILL,M16A4,Alector,732.81
PuDy,KO,,Jerricl,743.97
Gubbkuken,KILL,M16A4,Joewaoi,795.75
Bananaru,KO,,ZenitH_80,803.04
GiTGOOD,KO,M16A4,misbah,806.69
OliverRanduims,KILL,M416,ZenitH_80,806.69
Gubbkuken,KILL,M16A4,Mister_P,806.69
GiTGOOD,EXECUTION,,misbah,813.91
gherkinkhan,KILL,M16A4,Gubbkuken,813.91
